Player Name,Salary,Position,Age,Team,PTS,Total Minutes,MP,FG%,3P%,FT%,TRB,AST,STL,BLK,TOV,TOV,PER,Altura,Peso
Stephen Curry,48070014,PG,34,GSW,29.4,1941,34.7,0.493,0.427,0.915,6.1,6.3,0.9,0.4,3.2,3.2,24.1,"6'3""",185
LeBron James,44474988,PF,38,LAL,28.9,1954,35.5,0.5,0.321,0.768,8.3,6.8,0.9,0.6,3.2,3.2,23.9,"6'9""",250
Kevin Durant,44119845,PF,34,BRK/PHO,29.1,1672,35.6,0.56,0.404,0.919,6.7,5,0.7,1.4,3.3,3.3,25.9,"6'10""",229
Bradley Beal,43279250,SG,29,WAS,23.2,1673,33.5,0.506,0.365,0.842,3.9,5.4,0.9,0.7,2.9,2.9,19.7,"6'4""",207
Kawhi Leonard,42492492,SF,31,LAC,23.8,1748,33.6,0.512,0.416,0.871,6.5,3.9,1.4,0.5,1.7,1.7,23.9,"6'7""",225
Paul George,42492492,SF,32,LAC,23.8,1939,34.6,0.457,0.371,0.871,6.1,5.1,1.5,0.4,3.1,3.1,19.6,"6'8""",218
Giannis Antetokounmpo,42492492,PF,28,MIL,31.1,2024,32.1,0.553,0.275,0.645,11.8,5.7,0.8,0.8,3.9,3.9,29,"7'0""",243
Damian Lillard,42492492,PG,32,POR,32.2,2107,36.3,0.463,0.371,0.914,4.8,7.3,0.9,0.3,3.3,3.3,26.7,"6'2""",195
Kyrie Irving,38917057,PG-SG,30,BRK/DAL,27.1,2241,37.4,0.494,0.379,0.905,5.1,5.5,1.1,0.8,2.1,2.1,22.4,"6'2""",190
Rudy Gobert,38172414,C,30,MIN,13.4,2148,30.7,0.659,0,0.644,11.6,1.2,0.8,1.4,1.7,1.7,18.9,"7'1""",245
Khris Middleton,37984276,SF,31,MIL,15.1,801,24.3,0.436,0.315,0.902,4.2,4.9,0.7,0.2,2.2,2.2,17.4,"6'7""",222
Anthony Davis,37980720,C,29,LAL,25.9,1904,34,0.563,0.257,0.784,12.5,2.6,1.1,2,2.2,2.2,27.8,"6'10""",253
Jimmy Butler,37653300,PF,33,MIA,22.9,2138,33.4,0.539,0.35,0.85,5.9,5.3,1.8,0.3,1.6,1.6,27.6,"6'7""",229
Tobias Harris,37633050,SF,30,PHI,14.7,2436,32.9,0.501,0.389,0.876,5.7,2.5,0.9,0.5,1.2,1.2,14.8,"6'7""",236
Trae Young,37096500,PG,24,ATL,26.2,2541,34.8,0.429,0.335,0.886,3,10.2,1.1,0.1,4.1,4.1,22,"6'1""",164
Zach LaVine,37096500,SG,27,CHI,24.8,2768,35.9,0.485,0.375,0.848,4.5,4.2,0.9,0.2,2.5,2.5,19,"6'5""",200
Pascal Siakam,35448672,PF,28,TOR,24.2,2652,37.4,0.48,0.324,0.774,7.8,5.8,0.9,0.5,2.4,2.4,20.3,"6'8""",230
Myles Turner,35096500,C,26,IND,18,1825,29.4,0.548,0.373,0.783,7.5,1.4,0.6,2.3,1.7,1.7,20,"6'11""",250
Jrue Holiday,34319520,PG,32,MIL,19.3,2183,32.6,0.479,0.384,0.859,5.1,7.4,1.2,0.4,2.9,2.9,19.2,"6'5""",205
Karl-Anthony Towns,33833400,PF,27,MIN,20.8,957,33,0.495,0.366,0.874,8.1,4.8,0.7,0.6,3,3,18.8,"7'0""",248
Devin Booker,33833400,SG,26,PHO,27.8,1835,34.6,0.494,0.351,0.855,4.5,5.5,1,0.3,2.7,2.7,22,"6'5""",206
Joel Embiid,33616770,C,28,PHI,33.1,2284,34.6,0.548,0.33,0.857,10.2,4.2,1,1.7,3.4,3.4,31.4,"7'0""",280
CJ McCollum,33333333,SG,31,NOP,20.9,2649,35.3,0.437,0.389,0.769,4.4,5.7,0.9,0.5,2.4,2.4,15.6,"6'3""",201
James Harden,33000000,PG,33,PHI,21,2135,36.8,0.441,0.385,0.867,6.1,10.7,1.2,0.5,3.4,3.4,21.6,"6'5""",220
Jamal Murray,31650600,PG,25,DEN,20,2133,32.8,0.454,0.398,0.833,4,6.2,1,0.2,2.2,2.2,18,"6'4""",215
Brandon Ingram,31650600,SF,25,NOP,24.7,1538,34.2,0.484,0.39,0.882,5.5,5.8,0.7,0.4,3.3,3.3,19.2,"6'8""",190
D'Angelo Russell,31377750,PG,26,LAL/MIN,17.8,2304,32.5,0.469,0.396,0.829,3,6.2,1,0.4,2.6,2.6,16.3,"6'4""",193
Donovan Mitchell,30913750,SG,26,CLE,28.3,2432,35.8,0.484,0.386,0.867,4.3,4.4,1.5,0.4,2.6,2.6,22.9,"6'1""",215
Shai Gilgeous-Alexander,30913750,PG,24,OKC,31.4,2416,35.5,0.51,0.345,0.905,4.8,5.5,1.6,1,2.8,2.8,27.2,"6'6""",195
Jayson Tatum,30351780,SF,24,BOS,30.1,2732,36.9,0.466,0.35,0.854,8.8,4.6,1.1,0.7,2.9,2.9,23.7,"6'8""",210
Bam Adebayo,30351780,C,25,MIA,20.4,2598,34.6,0.54,0.083,0.806,9.2,3.2,1.2,0.8,2.5,2.5,20.1,"6'9""",255
De'Aaron Fox,30351780,PG,25,SAC,25,2435,33.4,0.512,0.324,0.78,4.2,6.1,1.1,0.3,2.5,2.5,21.8,"6'3""",185
Jaylen Brown,29776785,SF,26,BOS,26.6,2405,35.9,0.491,0.335,0.765,6.9,3.5,1.1,0.4,2.9,2.9,19.1,"6'6""",223
Chris Paul,28400000,PG,37,PHO,13.9,1889,32,0.44,0.375,0.831,4.3,8.9,1.5,0.4,1.9,1.9,17.7,"6'0""",175
Jalen Brunson,27733332,PG,26,NYK,24,2379,35,0.491,0.416,0.829,3.5,6.2,0.9,0.2,2.1,2.1,21.2,"6'2""",190
DeMar DeRozan,27300000,SF,33,CHI,24.5,2682,36.2,0.504,0.324,0.872,4.6,5.1,1.1,0.5,2.1,2.1,20.6,"6'6""",218
Draymond Green,25806468,PF,32,GSW,8.5,2297,31.5,0.527,0.305,0.713,7.2,6.8,1,0.8,2.8,2.8,12.2,"6'6""",230
Julius Randle,23760000,PF,28,NYK,25.1,2737,35.5,0.459,0.343,0.757,10,4.1,0.6,0.3,2.8,2.8,20.3,"6'8""",250
Mike Conley,22680000,PG,35,MIN/UTA,11.9,2029,30.3,0.428,0.385,0.834,2.7,6.7,1.1,0.2,1.5,1.5,14.7,"6'1""",174
Malcolm Brogdon,22600000,PG,30,BOS,14.9,1744,26,0.484,0.444,0.87,4.2,3.7,0.7,0.3,1.5,1.5,18.2,"6'5""",229
Anfernee Simons,22321429,SG,23,POR,21.1,2171,35,0.447,0.377,0.894,2.6,4.1,0.7,0.2,2.1,2.1,14.8,"6'3""",180
Terry Rozier,21486316,SG,28,CHO,21.1,2221,35.3,0.415,0.327,0.809,4.1,5.1,1.2,0.3,2.1,2.1,14.7,"6'1""",190
Fred VanVleet,21250000,PG,28,TOR,19.3,2535,36.7,0.393,0.342,0.898,4.1,7.2,1.8,0.6,2,2,17,"6'1""",194
Domantas Sabonis,21100000,C,26,SAC,19.1,2736,34.6,0.615,0.373,0.742,12.3,7.3,0.8,0.5,2.9,2.9,23.5,"6'11""",241
Jerami Grant,20955000,PF,28,POR,20.5,2246,35.7,0.475,0.401,0.813,4.5,2.4,0.8,0.8,1.8,1.8,16,"6'8""",210
Aaron Gordon,20690909,PF,27,DEN,16.3,2055,30.2,0.564,0.347,0.608,6.6,3,0.8,0.8,1.4,1.4,19.5,"6'9""",220
Mikal Bridges,20100000,SF-SG,26,BRK/PHO,20.1,2963,35.7,0.468,0.382,0.895,4.4,3.3,1.1,0.7,1.5,1.5,16.8,"6'6""",209
Jarrett Allen,20000000,C,24,CLE,14.3,2220,32.6,0.644,0.1,0.733,9.8,1.7,0.8,1.2,1.4,1.4,19.9,"6'9""",243
OG Anunoby,17357143,SF,25,TOR,16.8,2386,35.6,0.476,0.387,0.838,5,2,1.9,0.7,2,2,14.6,"6'7""",231
Marcus Smart,17207142,PG,28,BOS,11.5,1957,32.1,0.415,0.336,0.746,3.1,6.3,1.5,0.4,2.3,2.3,12.1,"6'3""",220
Derrick White,17142857,SG,28,BOS,12.4,2319,28.3,0.462,0.381,0.875,3.6,3.9,0.7,0.9,1.2,1.2,15.4,"6'4""",190
Dejounte Murray,17071120,SG,26,ATL,20.5,2693,36.4,0.464,0.344,0.832,5.3,6.1,1.5,0.3,2.2,2.2,17,"6'5""",180
Collin Sexton,16700000,PG,24,UTA,14.3,1145,23.9,0.506,0.393,0.819,2.2,2.9,0.6,0.1,1.8,1.8,15.9,"6'3""",190
Lauri Markkanen,16475454,PF,25,UTA,25.6,2273,34.4,0.499,0.391,0.875,8.6,1.9,0.6,0.6,1.9,1.9,22.1,"7'0""",240
Kentavious Caldwell-Pope,14004703,SG,29,DEN,10.8,2381,31.3,0.462,0.423,0.824,2.7,2.4,1.5,0.5,1.1,1.1,11.5,"6'5""",205
Brook Lopez,13906976,C,34,MIL,15.9,2373,30.4,0.531,0.374,0.784,6.7,1.3,0.5,2.5,1.4,1.4,18.4,"7'1""",282
Zion Williamson,13534817,PF,22,NOP,26,956,33,0.608,0.368,0.714,7,4.6,1.1,0.6,3.4,3.4,25.2,"6'6""",284
Kyle Kuzma,13000000,PF,27,WAS,21.2,2239,35,0.448,0.333,0.73,7.2,3.7,0.6,0.5,3,3,14.3,"6'9""",221
Ja Morant,12119440,PG,23,MEM,26.2,1948,31.9,0.466,0.307,0.748,5.9,8.1,1.1,0.3,3.4,3.4,23.3,"6'2""",174
Dillon Brooks,11400000,SF,27,MEM,14.3,2214,30.3,0.396,0.326,0.779,3.3,2.6,0.9,0.2,1.4,1.4,9.4,"6'7""",225
Paolo Banchero,11055120,PF,20,ORL,20,2430,33.8,0.427,0.298,0.738,6.9,3.7,0.8,0.5,2.8,2.8,14.9,"6'10""",249
RJ Barrett,10900634,SG,22,NYK,19.6,2475,33.9,0.434,0.31,0.74,5,2.8,0.4,0.2,2.2,2.2,12.9,"6'6""",214
Anthony Edwards,10733400,SG,21,MIN,24.6,2842,36,0.459,0.369,0.756,5.8,4.4,1.6,0.7,3.3,3.3,17.4,"6'4""",225
Cade Cunningham,10552800,PG,21,DET,19.9,400,33.3,0.415,0.279,0.837,6.2,6,0.8,0.6,3.3,3.3,14,"6'6""",220
Alex Caruso,9030000,PG,28,CHI,5.6,1575,23.5,0.455,0.364,0.808,2.9,2.9,1.5,0.7,1.1,1.1,11.5,"6'4""",186
Darius Garland,8920794,PG,23,CLE,21.6,2447,35.5,0.462,0.41,0.863,2.7,7.8,1.2,0.1,2.9,2.9,18.8,"6'1""",192
Isaiah Hartenstein,8854879,C,24,NYK,5,1626,19.8,0.535,0.216,0.676,6.5,1.2,0.6,0.8,0.8,0.8,14.2,"7'0""",250
LaMelo Ball,8623920,PG,21,CHO,23.3,1268,35.2,0.411,0.376,0.836,6.4,8.4,1.3,0.3,3.6,3.6,17.9,"6'7""",181
Evan Mobley,8478720,PF,21,CLE,16.2,2715,34.4,0.554,0.216,0.674,9,2.8,0.8,1.5,1.8,1.8,17.9,"6'11""",215
Scottie Barnes,7644600,SF,21,TOR,15.3,2678,34.8,0.456,0.281,0.772,6.6,4.8,1.1,0.8,2,2,15.5,"6'8""",225
Coby White,7413955,SG,22,CHI,9.7,1730,23.4,0.443,0.372,0.871,2.9,2.8,0.7,0.1,1,1,12.5,"6'5""",195
Jalen Suggs,6922320,SG,21,ORL,9.9,1246,23.5,0.419,0.327,0.723,3,2.9,1.3,0.5,1.8,1.8,12.5,"6'4""",205
Jonathan Kuminga,5739840,PF,20,GSW,9.9,1394,20.8,0.525,0.37,0.652,3.4,1.9,0.6,0.5,1.4,1.4,13.3,"6'8""",210
Tyler Herro,5722116,SG,23,MIA,20.1,2337,34.9,0.439,0.378,0.934,5.4,4.2,0.8,0.2,2.4,2.4,15.3,"6'5""",195
Franz Wagner,5258280,SF,21,ORL,18.6,2609,32.6,0.485,0.361,0.842,4.1,3.5,1,0.2,2.1,2.1,15.9,"6'10""",220
Devin Vassell,4437000,SG,22,SAS,18.5,1178,31,0.439,0.387,0.78,3.9,3.6,1.1,0.4,1.5,1.5,15.5,"6'5""",200
Jalen Williams,4341480,SG,21,OKC,14.1,2276,30.3,0.521,0.356,0.812,4.5,3.3,1.4,0.5,1.6,1.6,15.6,"6'6""",195
Tyrese Haliburton,4215120,PG,22,IND,20.7,1883,33.6,0.49,0.4,0.871,3.7,10.4,1.6,0.4,2.5,2.5,23.6,"6'5""",185
Jalen Johnson,2792640,SF,21,ATL,5.6,1042,14.9,0.491,0.288,0.628,4,1.2,0.5,0.5,0.6,0.6,14.1,"6'9""",220
Tyrese Maxey,2726880,SG,22,PHI,20.3,2016,33.6,0.481,0.434,0.845,2.9,3.5,0.8,0.1,1.3,1.3,17,"6'2""",200
Walker Kessler,2696400,C,21,UTA,9.2,1703,23,0.72,0.333,0.516,8.4,0.9,0.4,2.3,0.8,0.8,21.5,"7'1""",204
Immanuel Quickley,2316240,SG,23,NYK,14.9,2344,28.9,0.448,0.37,0.819,4.2,3.4,1,0.2,1.2,1.2,16.3,"6'3""",190
Jaden McDaniels,2161440,SF,22,MIN,12.1,2416,30.6,0.517,0.398,0.736,3.9,1.9,0.9,1,1.4,1.4,12,"6'9""",185
Desmond Bane,2130240,SG,24,MEM,21.5,1841,31.7,0.479,0.408,0.883,5,4.4,1,0.4,2.2,2.2,19.1,"6'5""",216
Naz Reid,1930681,C,23,MIN,11.5,1251,18.4,0.537,0.346,0.677,4.9,1.1,0.6,0.8,1.4,1.4,18.5,"6'9""",264
Austin Reaves,1563518,SG,24,LAL,13,1843,28.8,0.529,0.398,0.864,3,3.4,0.5,0.3,1.5,1.5,14.9,"6'5""",206
